principio_activo,nombre_comercial,potencia,potencia_valor,potencia_unidad,contenido,presentación,laboratorio
Acenocumarol,Acenocoumarol Rospaw,4 Mg,4.0,Mg,20,Comprimidos,Rospaw
Acenocumarol,Azecar,4 Mg,4.0,Mg,30,Comprimidos,Bago
Acenocumarol,Fortonol,4 Mg,4.0,Mg,20,Comprimidos,Microsules Arg.
Acenocumarol,Sintrom,4 Mg,4.0,Mg,20,Comprimidos,Nova Argentia
Acetazolamida,Diabo,250 Mg,250.0,Mg,50,Comprimidos,Max Vision
Acetilcarnitina,Neurex,500 Mg,500.0,Mg,40,Comprimidos,Beta
Acetilcarnitina,Neuroactil,nan,,nan,30,Comprimidos,Bago
Acetilcisteina,Acc Expectorante,600 Mg,600.0,Mg,10,Comprimidos,Novartis - Sando
Acetilcisteina,Acc Expectorante,600 Mg,600.0,Mg,20,Comprimidos,Novartis - Sando
Acetilcisteina,Acemuk,600 Mg,600.0,Mg,10,Tabletas,Investi
Acetilcisteina,Acemuk,600 Mg,600.0,Mg,20,Tabletas,Investi
Acetilcisteina,Acemuk Jarabe,nan,,nan,100,Jarabe/Tonico,Investi
Acetilcisteina,Acetilcisteina Teva,600 Mg,600.0,Mg,10,Comprimidos,Teva Argentina (Ex Ivax Arg)
Acetilcisteina,Antusel,600 Mg,600.0,Mg,10,Sobres,Gador
Acetilcisteina,Broncolium,600 Mg,600.0,Mg,10,Comprimidos,Temis-Lostalo
Acetilcisteina,Broncolium,nan,,nan,100,Jarabe/Tonico,Temis-Lostalo
Acetilcisteina,Cistefort,600 Mg,600.0,Mg,20,Sobres,Fortbenton
Acetilcisteina,Cistefort,600 Mg,600.0,Mg,10,Sobres,Fortbenton
Acetilcisteina,Denvermuc,600 Mg,600.0,Mg,10,Sobres,Denver Farma
Acetilcisteina,Dosomuk,600 Mg,600.0,Mg,10,Comprimidos,Beta
Acetilcisteina,Dosomuk,600 Mg,600.0,Mg,20,Comprimidos,Beta
Acetilcisteina,Maxvan,600 Mg,600.0,Mg,10,Comprimidos,Vannier
Acetilcisteina,Maxvan,600 Mg,600.0,Mg,20,Comprimidos,Vannier
Acetilcisteina,Qura Muk,600 Mg,600.0,Mg,20,Comprimidos,Bernabo
Acetilcisteina,Qura Muk,600 Mg,600.0,Mg,10,Comprimidos,Bernabo
Acetilcisteina,Qura Muk,nan,,nan,100,Jarabe/Tonico,Bernabo
Acetilcisteina,Tempotane,600 Mg,600.0,Mg,10,Sobres,Lazar
Acetilcisteina,Tempotane,600 Mg,600.0,Mg,20,Sobres,Lazar
Acetilcisteina,Tempotane,nan,,nan,100,Jarabe/Tonico,Lazar
Acetilcisteina,Toflux,200 Mg,200.0,Mg,20,Sobres,Casasco
Acetilcisteina,Toflux,600 Mg,600.0,Mg,10,Sobres,Casasco
Acetilcisteina,Toflux,600 Mg,600.0,Mg,20,Sobres,Casasco
Acetilcisteina,Toflux,nan,,nan,100,Jarabe/Tonico,Casasco
"Acetilsalicilico,Ac.",Aspirina Prevent,100 Mg,100.0,Mg,20,Comprimidos,Bayer (Ph)
"Acetilsalicilico,Ac.",Aspirina Prevent,100 Mg,100.0,Mg,50,Comprimidos,Bayer (Ph)
"Acetilsalicilico,Ac. + Vit.C + Vit.E",Cardiax,nan,,nan,30,Comprimidos,Sidus
"Acexamico,Ac. + Asoc.",Restaurene,nan,,nan,20,Pomada,Teva Argentina (Ex Ivax Arg)
Aciclovir,Acerpes,5%,5.0,%,5,Crema,Investi
Aciclovir,Acerpes,400 Mg,400.0,Mg,20,Comprimidos,Investi
Aciclovir,Acerpes,800 Mg,800.0,Mg,20,Comprimidos,Investi
Aciclovir,Dioxis (Ex Aciclo),nan,,nan,5,Crema,Microsules Arg.
Aciclovir,Kloviracil,5%,5.0,%,10,Crema,Klonal
Aciclovir,Labioderm,5%,5.0,%,10,Crema,Biosintex
Aciclovir,Lafevir,5%,5.0,%,10,Crema,Lafedar
Aciclovir,Lafevir,5%,5.0,%,5,Crema,Lafedar
Aciclovir,Lafevir,800 Mg,800.0,Mg,20,Comprimidos,Lafedar
Aciclovir,Lafevir,800 Mg,800.0,Mg,40,Comprimidos,Lafedar
Aciclovir,Lisovyr,8%,8.0,%,120,Suspension,Elea - Phoenix
Aciclovir,Lisovyr,200 Mg,200.0,Mg,20,Capsulas,Elea - Phoenix
Aciclovir,Lisovyr,400 Mg,400.0,Mg,20,Comprimidos,Elea - Phoenix
Aciclovir,Lisovyr,800 Mg,800.0,Mg,40,Comprimidos,Elea - Phoenix
Aciclovir,Lisovyr,800 Mg,800.0,Mg,20,Comprimidos,Elea - Phoenix
Aciclovir,Lisovyr,nan,,nan,10,Unguento,Elea - Phoenix
Aciclovir,Lisovyr,nan,,nan,5,Crema,Elea - Phoenix
Aciclovir,Poviral,400 Mg,400.0,Mg,125,Suspension,Roemmers
Aciclovir,Poviral,400 Mg,400.0,Mg,20,Comprimidos,Roemmers
Aciclovir,Poviral,400 Mg,400.0,Mg,40,Comprimidos,Roemmers
Aciclovir,Poviral,800 Mg,800.0,Mg,20,Comprimidos,Roemmers
Aciclovir,Poviral,800 Mg,800.0,Mg,40,Comprimidos,Roemmers
Aciclovir,Poviral,nan,,nan,5,Crema,Roemmers
Aciclovir,Xiclovir,5%,5.0,%,5,Unguento,Lazar
Aciclovir,Xiclovir,5%,5.0,%,5,Crema,Lazar
Aciclovir,Xiclovir,8%,8.0,%,120,Suspension,Lazar
Aciclovir,Xiclovir,200 Mg,200.0,Mg,30,Comprimidos,Lazar
Aciclovir,Xiclovir,400 Mg,400.0,Mg,20,Comprimidos,Lazar
Aciclovir,Xiclovir,800 Mg,800.0,Mg,20,Comprimidos,Lazar
Aciclovir,Xiclovir,800 Mg,800.0,Mg,40,Comprimidos,Lazar
Aciclovir,Zovirax,nan,,nan,10,Crema,Glaxosmithkline
Acitretina,Neotigason,10 Mg,10.0,Mg,30,Capsulas,Teva Argentina (Ex Ivax Arg)
Acitretina,Neotigason,25 Mg,25.0,Mg,30,Capsulas,Teva Argentina (Ex Ivax Arg)
Acth,Acthel 1 Unidad,25 Ui,25.0,Ui,1,Frasco Ampolla,Gp Pharm
Acth,Acthel 1 Unidad,40 Ui,40.0,Ui,2,Frasco Ampolla,Gp Pharm
Agomelatina,Valdoxan,25 Mg,25.0,Mg,14,Comprimidos,Servier
Agomelatina,Valdoxan,25 Mg,25.0,Mg,28,Comprimidos,Servier
Agomelatina,Vestin,25 Mg,25.0,Mg,28,Comprimidos,Gador
Alcanfor + Asoc.,Aseptobron Adultos 5 Unidades,nan,,nan,2,Ampolla,Temis-Lostalo
Alendronato,Actimax,70 Mg,70.0,Mg,4,Comprimidos,Investi
Alendronato,Actimax,70 Mg,70.0,Mg,8,Comprimidos,Investi
Alendronato,Alenato,70 Mg,70.0,Mg,8,Comprimidos,Investi
Alendronato,Alenato,70 Mg,70.0,Mg,4,Comprimidos,Investi
Alendronato,Alendronato,70 Mg,70.0,Mg,4,Comprimidos,Lepetit
Alendronato,Arendal,70 Mg,70.0,Mg,4,Comprimidos,Teva Argentina (Ex Ivax Arg)
Alendronato,Berlex,70 Mg,70.0,Mg,4,Comprimidos,Duncan
Alendronato,Brek,70 Mg,70.0,Mg,4,Comprimidos,Trb-Pharma
Alendronato,Brek,70 Mg,70.0,Mg,8,Comprimidos,Trb-Pharma
Alendronato,Findeclin,70 Mg,70.0,Mg,4,Comprimidos,Finadiet
Alendronato,Findeclin,70 Mg,70.0,Mg,8,Comprimidos,Finadiet
Alendronato,Labsabone,70 Mg,70.0,Mg,4,Comprimidos,Labsa
Alendronato,Lendronal,70 Mg,70.0,Mg,4,Comprimidos,Lafedar
Alendronato,Marvil,70 Mg,70.0,Mg,4,Comprimidos,Gador
Alendronato,Osteofene,70 Mg,70.0,Mg,4,Comprimidos,Rontag
Alendronato,Regenesis,70 Mg,70.0,Mg,4,Comprimidos,Elea - Phoenix
Alendronato,Silidral,70 Mg,70.0,Mg,4,Comprimidos,Spedrog Caillon
Alendronato,Tilios,70 Mg,70.0,Mg,8,Comprimidos,Microsules Arg.
Alendronato,Tilios,70 Mg,70.0,Mg,4,Comprimidos,Microsules Arg.
"Alfuzosina,Clorh.",Uroxatral Od,10 Mg,10.0,Mg,30,Comprimidos,Sanofi-Aventis
Allopurinol,Allopurinol Craveri,100 Mg,100.0,Mg,30,Comprimidos,Craveri
Allopurinol,Allopurinol Craveri,100 Mg,100.0,Mg,60,Comprimidos,Craveri
Allopurinol,Allopurinol Craveri,300 Mg,300.0,Mg,20,Comprimidos,Craveri
Allopurinol,Allopurinol Craveri,300 Mg,300.0,Mg,40,Comprimidos,Craveri
Allopurinol,Allopurinol Craveri,300 Mg,300.0,Mg,30,Comprimidos,Craveri
Allopurinol,Allopurinol Craveri,300 Mg,300.0,Mg,60,Comprimidos,Craveri
Allopurinol,Allopurinol Fabra,300 Mg,300.0,Mg,20,Comprimidos,Fabra
Allopurinol,Allopurinol Fabra,300 Mg,300.0,Mg,30,Comprimidos,Fabra
Allopurinol,Allopurinol Gador,100 Mg,100.0,Mg,30,Comprimidos,Gador
Allopurinol,Allopurinol Gador,100 Mg,100.0,Mg,60,Comprimidos,Gador
Allopurinol,Allopurinol Gador,300 Mg,300.0,Mg,30,Comprimidos,Gador
Allopurinol,Allopurinol Gador,300 Mg,300.0,Mg,60,Comprimidos,Gador
Allopurinol,Allopurinol Gador Retard,300 Mg,300.0,Mg,30,Comprimidos,Gador
Allopurinol,Allopurinol Hexal,300 Mg,300.0,Mg,30,Comprimidos,Investi
Allopurinol,Allopurinol Houde,nan,,nan,30,Comprimidos,Spedrog Caillon
Allopurinol,Colpuril A Retard,nan,,nan,50,Capsulas,Nova Argentia
Allopurinol,Puritenk,300 Mg,300.0,Mg,20,Comprimidos,Biotenk
Allopurinol + Colchicina,Artrex Retard,nan,,nan,40,Capsulas,Spedrog Caillon
Allopurinol + Colchicina,Artrex Retard,nan,,nan,20,Capsulas,Spedrog Caillon
Allopurinol + Colchicina,Colpuril,100 Mg,100.0,Mg,20,Comprimidos,Nova Argentia
Allopurinol + Colchicina,Colpuril Retard,300 Mg,300.0,Mg,20,Capsulas,Nova Argentia
Alprazolam,Alplax,0.25 Mg,0.25,Mg,30,Comprimidos,Gador
Alprazolam,Alplax,0.25 Mg,0.25,Mg,60,Comprimidos,Gador
Alprazolam,Alplax,0.5 Mg,0.5,Mg,30,Comprimidos,Gador
Alprazolam,Alplax,0.5 Mg,0.5,Mg,60,Comprimidos,Gador
Alprazolam,Alplax,1 Mg,1.0,Mg,30,Comprimidos,Gador
Alprazolam,Alplax,1 Mg,1.0,Mg,60,Comprimidos,Gador
Alprazolam,Alplax,2 Mg,2.0,Mg,30,Comprimidos,Gador
Alprazolam,Alplax,2 Mg,2.0,Mg,60,Comprimidos,Gador
Alprazolam,Alplax Xr,0.50 Mg,0.5,Mg,20,Comprimidos,Gador
Alprazolam,Alplax Xr,1 Mg,1.0,Mg,20,Comprimidos,Gador
Alprazolam,Alplax Xr,2 Mg,2.0,Mg,20,Comprimidos,Gador
Alprazolam,Alprazol,0.50 Mg,0.5,Mg,60,Comprimidos,Casasco
Alprazolam,Alprazol,1 Mg,1.0,Mg,60,Comprimidos,Casasco
Alprazolam,Alprazol,2 Mg,2.0,Mg,60,Comprimidos,Casasco
Alprazolam,Alprazolam Cevallos,0.50 Mg,0.5,Mg,30,Comprimidos,Cevallos
Alprazolam,Alprazolam Cevallos,1 Mg,1.0,Mg,30,Comprimidos,Cevallos
Alprazolam,Alprazolam Denver Farma,0.50 Mg,0.5,Mg,30,Comprimidos,Denver Farma
Alprazolam,Alprazolam Denver Farma,0.50 Mg,0.5,Mg,60,Comprimidos,Denver Farma
Alprazolam,Alprazolam Denver Farma,1 Mg,1.0,Mg,30,Comprimidos,Denver Farma
Alprazolam,Alprazolam Denver Farma,1 Mg,1.0,Mg,60,Comprimidos,Denver Farma
Alprazolam,Alprazolam Denver Farma,2 Mg,2.0,Mg,30,Comprimidos,Denver Farma
Alprazolam,Alprazolam Denver Farma,2 Mg,2.0,Mg,60,Comprimidos,Denver Farma
Alprazolam,Alprazolam Hlb,0.25 Mg,0.25,Mg,60,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,0.5 Mg,0.5,Mg,30,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,0.5 Mg,0.5,Mg,60,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,1 Mg,1.0,Mg,30,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,1 Mg,1.0,Mg,60,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,2 Mg,2.0,Mg,30,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Hlb,2 Mg,2.0,Mg,60,Comprimidos,Hlb Pharma
Alprazolam,Alprazolam Microsules (Retan),0.50 Mg,0.5,Mg,30,Comprimidos,Microsules Arg.
Alprazolam,Alprazolam Microsules (Retan),0.50 Mg,0.5,Mg,60,Comprimidos,Microsules Arg.
Alprazolam,Alprazolam Microsules (Retan),1 Mg,1.0,Mg,30,Comprimidos,Microsules Arg.
Alprazolam,Alprazolam Microsules (Retan),1 Mg,1.0,Mg,60,Comprimidos,Microsules Arg.
Alprazolam,Alprazolam Microsules (Retan),2 Mg,2.0,Mg,30,Comprimidos,Microsules Arg.
Alprazolam,Alprim,0.50 Mg,0.5,Mg,60,Comprimidos,Biotechno Pharma
Alprazolam,Alprim,0.50 Mg,0.5,Mg,30,Comprimidos,Biotechno Pharma
Alprazolam,Alprim,1 Mg,1.0,Mg,60,Comprimidos,Biotechno Pharma
Alprazolam,Alprim,1 Mg,1.0,Mg,30,Comprimidos,Biotechno Pharma
Alprazolam,Alprim,2 Mg,2.0,Mg,60,Comprimidos,Biotechno Pharma
Alprazolam,Alprim,2 Mg,2.0,Mg,30,Comprimidos,Biotechno Pharma
Alprazolam,Amziax Chobet,0.50 Mg,0.5,Mg,30,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,0.50 Mg,0.5,Mg,60,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,0.50 Mg,0.5,Mg,10,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,1 Mg,1.0,Mg,30,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,1 Mg,1.0,Mg,60,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,1 Mg,1.0,Mg,10,Comprimidos,Soubeiran Chobet
Alprazolam,Amziax Chobet,2 Mg,2.0,Mg,30,Comprimidos,Soubeiran Chobet
Alprazolam,Becede 0.50 Mg,0.50 Mg,0.5,Mg,30,Comprimidos,Vannier
Alprazolam,Becede 1,1 Mg,1.0,Mg,30,Comprimidos,Vannier
Alprazolam,Becede 2,2 Mg,2.0,Mg,30,Comprimidos,Vannier
Alprazolam,Becede 2,2 Mg,2.0,Mg,60,Comprimidos,Vannier
Alprazolam,Bestrol,0.5 Mg,0.5,Mg,20,Comprimidos,Cetus
Alprazolam,Bestrol,0.5 Mg,0.5,Mg,60,Comprimidos,Cetus
Alprazolam,Bestrol,0.5 Mg,0.5,Mg,40,Comprimidos,Cetus
Alprazolam,Bestrol,1 Mg,1.0,Mg,20,Comprimidos,Cetus
Alprazolam,Bestrol,1 Mg,1.0,Mg,60,Comprimidos,Cetus
Alprazolam,Bestrol,1 Mg,1.0,Mg,40,Comprimidos,Cetus
Alprazolam,Calmol,0.50 Mg,0.5,Mg,30,Comprimidos,Temis-Lostalo
Alprazolam,Calmol,1 Mg,1.0,Mg,30,Comprimidos,Temis-Lostalo
Alprazolam,Calmol,2 Mg,2.0,Mg,30,Comprimidos,Temis-Lostalo
Alprazolam,Emeral,0.50 Mg,0.5,Mg,50,Comprimidos,Nova Argentia
Alprazolam,Emeral,0.50 Mg,0.5,Mg,30,Comprimidos,Nova Argentia
Alprazolam,Emeral,1 Mg,1.0,Mg,50,Comprimidos,Nova Argentia
Alprazolam,Emeral,1 Mg,1.0,Mg,30,Comprimidos,Nova Argentia
Alprazolam,Emeral,2 Mg,2.0,Mg,50,Comprimidos,Nova Argentia
Alprazolam,Emeral,2 Mg,2.0,Mg,30,Comprimidos,Nova Argentia
Alprazolam,Krama,0.50 Mg,0.5,Mg,30,Comprimidos,Duncan
Alprazolam,Krama,0.50 Mg,0.5,Mg,60,Comprimidos,Duncan
Alprazolam,Krama,1 Mg,1.0,Mg,30,Comprimidos,Duncan
Alprazolam,Krama,1 Mg,1.0,Mg,60,Comprimidos,Duncan
Alprazolam,Novazolam,0.50 Mg,0.5,Mg,30,Comprimidos,Monserrat
Alprazolam,Novazolam,0.50 Mg,0.5,Mg,60,Comprimidos,Monserrat
Alprazolam,Novazolam,1 Mg,1.0,Mg,30,Comprimidos,Monserrat
Alprazolam,Novazolam,1 Mg,1.0,Mg,60,Comprimidos,Monserrat
Alprazolam,Novazolam,2 Mg,2.0,Mg,30,Comprimidos,Monserrat
Alprazolam,Novazolam,2 Mg,2.0,Mg,60,Comprimidos,Monserrat
Alprazolam,P T A 2000,0.5 Mg,0.5,Mg,30,Comprimidos,Sidus
Alprazolam,P T A 2000,0.5 Mg,0.5,Mg,60,Comprimidos,Sidus
Alprazolam,P T A 2000,1 Mg,1.0,Mg,30,Comprimidos,Sidus
Alprazolam,P T A 2000,1 Mg,1.0,Mg,60,Comprimidos,Sidus
Alprazolam,P T A 2000,2 Mg,2.0,Mg,30,Comprimidos,Sidus
Alprazolam,P T A 2000,2 Mg,2.0,Mg,60,Comprimidos,Sidus
Alprazolam,Prinox,0.25 Mg,0.25,Mg,50,Comprimidos,Eurofarma
Alprazolam,Prinox,0.25 Mg,0.25,Mg,30,Comprimidos,Eurofarma
Alprazolam,Prinox,0.5 Mg,0.5,Mg,30,Comprimidos,Eurofarma
Alprazolam,Prinox,0.5 Mg,0.5,Mg,50,Comprimidos,Eurofarma
Alprazolam,Prinox,1 Mg,1.0,Mg,30,Comprimidos,Eurofarma
Alprazolam,Prinox,1 Mg,1.0,Mg,50,Comprimidos,Eurofarma
Alprazolam,Prinox,2 Mg,2.0,Mg,50,Comprimidos,Eurofarma
Alprazolam,Prinox,2 Mg,2.0,Mg,30,Comprimidos,Eurofarma
Alprazolam,Rospaz (Ex Psicosedol),0.50 Mg,0.5,Mg,30,Comprimidos,Rospaw
Alprazolam,Rospaz (Ex Psicosedol),0.50 Mg,0.5,Mg,60,Comprimidos,Rospaw
Alprazolam,Rospaz (Ex Psicosedol),1 Mg,1.0,Mg,30,Comprimidos,Rospaw
Alprazolam,Rospaz (Ex Psicosedol),1 Mg,1.0,Mg,60,Comprimidos,Rospaw
Alprazolam,Rospaz (Ex Psicosedol),2 Mg,2.0,Mg,30,Comprimidos,Rospaw
Alprazolam,Rospaz (Ex Psicosedol),2 Mg,2.0,Mg,60,Comprimidos,Rospaw
Alprazolam,Tensium,0.25 Mg,0.25,Mg,30,Comprimidos,Baliarda
Alprazolam,Tensium,0.50 Mg,0.5,Mg,30,Comprimidos,Baliarda
Alprazolam,Tensium,0.50 Mg,0.5,Mg,60,Comprimidos,Baliarda
Alprazolam,Tensium,1 Mg,1.0,Mg,30,Comprimidos,Baliarda
Alprazolam,Tensium,1 Mg,1.0,Mg,60,Comprimidos,Baliarda
Alprazolam,Tensium,2 Mg,2.0,Mg,30,Comprimidos,Baliarda
Alprazolam,Tensium Sl,0.50 Mg,0.5,Mg,30,Comprimidos,Baliarda
Alprazolam,Tranquinal,0.25 Mg,0.25,Mg,50,Comprimidos,Bago
Alprazolam,Tranquinal,0.50 Mg,0.5,Mg,50,Comprimidos,Bago
Alprazolam,Tranquinal,0.50 Mg,0.5,Mg,100,Comprimidos,Bago
Alprazolam,Tranquinal,0.50 Mg,0.5,Mg,30,Comprimidos,Bago
Alprazolam,Tranquinal,0.50 Mg,0.5,Mg,60,Comprimidos,Bago
Alprazolam,Tranquinal,0.50 Mg,0.5,Mg,10,Comprimidos,Bago
Alprazolam,Tranquinal,1 Mg,1.0,Mg,50,Comprimidos,Bago
Alprazolam,Tranquinal,1 Mg,1.0,Mg,100,Comprimidos,Bago
Alprazolam,Tranquinal,1 Mg,1.0,Mg,30,Comprimidos,Bago
Alprazolam,Tranquinal,1 Mg,1.0,Mg,30,Solucion,Bago
Alprazolam,Tranquinal,1 Mg,1.0,Mg,60,Comprimidos,Bago
Alprazolam,Tranquinal,2 Mg,2.0,Mg,50,Comprimidos,Bago
Alprazolam,Tranquinal,2 Mg,2.0,Mg,100,Comprimidos,Bago
Alprazolam,Tranquinal,2 Mg,2.0,Mg,30,Comprimidos,Bago
Alprazolam,Tranquinal,2 Mg,2.0,Mg,60,Comprimidos,Bago
Alprazolam,Tranquinal Sublingual,0.50 Mg,0.5,Mg,30,Comprimidos,Bago
Alprazolam,Xanax,0.5 Mg,0.5,Mg,30,Comprimidos,Pfizer
Alprazolam,Xanax,0.5 Mg,0.5,Mg,60,Comprimidos,Pfizer
Alprazolam,Xanax,1 Mg,1.0,Mg,60,Comprimidos,Pfizer
Alprazolam,Xanax,1 Mg,1.0,Mg,30,Comprimidos,Pfizer
Alprazolam + Domperidona + Asoc.,Alplax Net,nan,,nan,30,Comprimidos,Gador
Alprazolam + Domperidona + Asoc.,Ansielix Digest,nan,,nan,30,Comprimidos,Craveri
Alprazolam + Domperidona + Asoc.,Sidomal,nan,,nan,30,Comprimidos,Sanitas
Alprazolam + Domperidona + Asoc.,Tensium Gastric,nan,,nan,30,Comprimidos,Baliarda
Alprazolam + Sulpirida,Alplax Digestivo,nan,,nan,30,Caplets,Gador
Alprazolam + Sulpirida,Alplax Digestivo,nan,,nan,60,Caplets,Gador
Alprazolam + Sulpirida,Tranquinal Soma,nan,,nan,30,Comprimidos,Bago
"Aluminio,Cloruro",Alumpak,nan,,nan,30,Locion,Investi
"Aluminio,Hidr. + Magn.Hidr. + Simet.",Factor Ag Antiacido,nan,,nan,30,Comprimidos,Casasco
"Aluminio,Hidr. + Magn.Hidr. + Simet.",Mylanta Ii,nan,,nan,30,Comprimidos,Elea - Phoenix
"Aluminio,Hidr. + Magn.Hidr. + Simet.",Mylanta Ii,nan,,nan,60,Comprimidos,Elea - Phoenix
"Aluminio,Hidr. + Magn.Hidr. + Simet.",Mylanta Ii,nan,,nan,360,Liquido,Elea - Phoenix
Alverina + Simeticona,Meteospasmyl,nan,,nan,30,Capsulas,Rossmore Pharma
Alverina + Simeticona,Meteospasmyl,nan,,nan,60,Capsulas,Rossmore Pharma
Amantadina,Actison,100 Mg,100.0,Mg,60,Comprimidos,Buxton
Amantadina,Actison,100 Mg,100.0,Mg,30,Comprimidos,Buxton
Amantadina,Ampakine,100 Mg,100.0,Mg,30,Comprimidos,Rontag
Amantadina,Ampakine,100 Mg,100.0,Mg,60,Comprimidos,Rontag
Amantadina,Virosol,100 Mg,100.0,Mg,10,Comprimidos,Elea - Phoenix
Amantadina,Virosol,100 Mg,100.0,Mg,30,Comprimidos,Elea - Phoenix
Ambroxol,Ambril,nan,,nan,120,Jarabe/Tonico,Elea - Phoenix
Ambroxol,Mucobron,nan,,nan,120,Jarabe/Tonico,E.J.Gezzi
Ambroxol,Mucosolvan (Ex Mucosolvon),nan,,nan,40,Solucion,Sanofi-Aventis O
Ambroxol + Butamirato + Clorfeniram.,Muco Dosodos,nan,,nan,150,Jarabe/Tonico,Beta
Ambroxol + Butetamato,Mucoprednibron,nan,,nan,20,Comprimidos,Pfizer
Ambroxol + Butetamato,Mucoprednibron,nan,,nan,150,Jarabe/Tonico,Pfizer
Ambroxol + Clembuterol,Mucosolvan Compositum (Ex Mucosolvon Compositum),nan,,nan,120,Jarabe/Tonico,Sanofi-Aventis O
Ambroxol + Clembuterol,Oxibron Nf,nan,,nan,30,Comprimidos,Montpellier
Ambroxol + Clembuterol,Oxibron Nf,nan,,nan,30,Gotas,Montpellier
Ambroxol + Paracetamol + Asoc.,Letondal,nan,,nan,10,Comprimidos,Finadiet
Aminoacidos + Vit.B12,Polper B12,nan,,nan,10,Ampolla,Casasco
Aminoacidos + Vit.B12,Polper B12 Af,nan,,nan,30,Sobres,Casasco
Aminoacidos + Vit.B12,Tanvimil Aminoacidos,nan,,nan,30,Comprimidos,Raymos
"Aminocaproico,Ac.",Ipsilon 10 Unidades,nan,,nan,10,Inyectable,Nova Argentia
Amiodarona,Angoten-Anguten,200 Mg,200.0,Mg,20,Comprimidos,Microsules Arg.
Amiodarona,Angoten-Anguten,200 Mg,200.0,Mg,50,Comprimidos,Microsules Arg.
Amiodarona,Atlansil,200 Mg,200.0,Mg,20,Comprimidos,Roemmers
Amiodarona,Atlansil,200 Mg,200.0,Mg,50,Comprimidos,Roemmers
Amiodarona,Miodarona,200 Mg,200.0,Mg,20,Comprimidos,Lafedar
Amiodarona,Miodarona,200 Mg,200.0,Mg,40,Comprimidos,Lafedar
Amiodarona,Ritmonil,200 Mg,200.0,Mg,50,Comprimidos,Lepetit
Amiodarona,Ritmonil,200 Mg,200.0,Mg,20,Comprimidos,Lepetit
Amitriptilina,Amiptril,25 Mg,25.0,Mg,30,Comprimidos,Rospaw
Amitriptilina,Amiptril,75 Mg,75.0,Mg,30,Comprimidos,Rospaw
Amitriptilina,Amitriptilina Cevallos,25 Mg,25.0,Mg,50,Comprimidos,Cevallos
Amitriptilina,Amitriptilina Cevallos,75 Mg,75.0,Mg,30,Comprimidos,Cevallos
Amitriptilina,Fiorda,25 Mg,25.0,Mg,30,Comprimidos,Lafedar
Amitriptilina,Tryptalgin,25 Mg,25.0,Mg,30,Comprimidos,Craveri
Amitriptilina,Tryptalgin,75 Mg,75.0,Mg,30,Comprimidos,Craveri
Amitriptilina,Tryptalgin,10 Mg,10.0,Mg,30,Comprimidos,Craveri
Amitriptilina,Tryptanol,25 Mg,25.0,Mg,100,Comprimidos,Bago
Amitriptilina,Tryptanol,25 Mg,25.0,Mg,30,Comprimidos,Bago
Amitriptilina,Tryptanol,75 Mg,75.0,Mg,30,Comprimidos,Bago
Amlodipina,Abloom,10 Mg,10.0,Mg,30,Comprimidos,Duncan
Amlodipina,Abloom,5 Mg,5.0,Mg,30,Comprimidos,Duncan
Amlodipina,Ambena,10 Mg,10.0,Mg,30,Comprimidos,Lab Internaciona
Amlodipina,Ambena,5 Mg,5.0,Mg,30,Comprimidos,Lab Internaciona
Amlodipina,Amloc,10 Mg,10.0,Mg,20,Tabletas,Pfizer
Amlodipina,Amloc,10 Mg,10.0,Mg,30,Tabletas,Pfizer
Amlodipina,Amloc,10 Mg,10.0,Mg,60,Tabletas,Pfizer
Amlodipina,Amloc,5 Mg,5.0,Mg,20,Tabletas,Pfizer
Amlodipina,Amloc,5 Mg,5.0,Mg,30,Tabletas,Pfizer
Amlodipina,Amloc,5 Mg,5.0,Mg,60,Tabletas,Pfizer
Amlodipina,Amloc Odt,10 Mg,10.0,Mg,30,Comprimidos,Pfizer
Amlodipina,Amloc Odt,5 Mg,5.0,Mg,30,Comprimidos,Pfizer
Amlodipina,Amlodicord,10 Mg,10.0,Mg,30,Comprimidos,Geminis Farmaceu
Amlodipina,Amlodicord,10 Mg,10.0,Mg,60,Comprimidos,Geminis Farmaceu
Amlodipina,Amlodicord,5 Mg,5.0,Mg,30,Comprimidos,Geminis Farmaceu
Amlodipina,Amlodicord,5 Mg,5.0,Mg,60,Comprimidos,Geminis Farmaceu
Amlodipina,Amlodine,10 Mg,10.0,Mg,30,Comprimidos,Eurofarma
Amlodipina,Amlodine,5 Mg,5.0,Mg,30,Comprimidos,Eurofarma
Amlodipina,Amlodipina Denver Farma,10 Mg,10.0,Mg,30,Comprimidos,Denver Farma
Amlodipina,Amlodipina Hlb,10 Mg,10.0,Mg,30,Comprimidos,Hlb Pharma
